scenario,run_id,role,event_path,manifest_path,event_sha256,manifest_sha256,public_projection_sha256,event_count
overlap_dual_mixed,run_01,calibration,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_mixed\run_01\runtime_events.measurement.jsonl,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_mixed\run_01\manifest.json,42da194176a42f8f95e601ba2a568b60ab420d561bcf560eae910af0643a2c9f,ee9091da20cc19525c573c6ca4326891030dfc57e2ef28e9eff7d2abefaf23df,28c58cc5c430fe9ea146cd42b0c2a7285b554cae17fd79458435d1407c2770f2,11213
overlap_dual_mixed,run_02,calibration,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_mixed\run_02\runtime_events.measurement.jsonl,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_mixed\run_02\manifest.json,9ba94bbe6da9de499dd5cab5d276c5bdc96dab2d4f3b505fb52c59659625c574,f43c741871c6e5b3e38583ad4a30a127883460e6a46d72d19caf51ad65c76354,1125ff760a602ba5d5999951c4abf46202f185b72ac7e7c9bfc2dfbd8b86a8c4,10946
overlap_dual_mixed,run_03,calibration,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_mixed\run_03\runtime_events.measurement.jsonl,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_mixed\run_03\manifest.json,3b53056af819a24964223b0acb7e1c987d86a7cc2f600918cce9c7466b1777bf,1d8f8f47d3c4e0c6443c8c6ec48dd405b6178374d0be3bedb3a18615ef09fba9,e66d7a2e86bf5f8176089bad1c106b729e0c611b2eb611e8ea47a6c4988940bc,11585
overlap_dual_mixed,run_04,calibration,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_mixed\run_04\runtime_events.measurement.jsonl,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_mixed\run_04\manifest.json,0a8e8748b65091f22cf6459a9b26dfeb1a74d161bfbf4563ef5691c25ed33cab,c4772ce2dce40570a3895498e6558446365e575097610f13aa919bf2c2e686c7,04ce957a00ab5df91e5227b7eae0e756f8e5735aa4051b28f82e46dd8f9b43a1,11577
overlap_dual_mixed,run_05,calibration,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_mixed\run_05\runtime_events.measurement.jsonl,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_mixed\run_05\manifest.json,e7e8924e690311daf3a9641068a191f20faeea8ebaa4bbab2632c38e5c77e44f,e6b6a60190e67ec6b68996a1bb7ab891c27a48e51b6d9185b7ac32e8d98a89bc,1ffb2957c1d8e50cb00b8d509d3886f66ad97b395ed87be7f70a462199bc9a95,11282
overlap_dual_mixed,run_06,test,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_mixed\run_06\runtime_events.measurement.jsonl,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_mixed\run_06\manifest.json,49980fd8e34c0c4b9c7a4ef684977cd0120b1ddf06ab0afbe36b58256c36a92c,6844196272b13aa49d966d9421febea4dc1ce2d85029f998f5ba22fbb2da7fee,1a1606c21a4615dd33bd043c9ff47a0825fce3508b2aa285fcbba71beb998920,10685
overlap_dual_mixed,run_07,test,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_mixed\run_07\runtime_events.measurement.jsonl,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_mixed\run_07\manifest.json,8d946843e526161b71ae88e2343cbc35a2d12017b6ffca71059ad4a666af506a,0c7c74bab1ef3d0d4432d45272809f1e32f1e1250e1ed3b40c31be95cc3a4b12,db92ffbff2150da889503e878d9e4c72f093e49dad20a90e316fc56e85732541,11543
overlap_dual_mixed,run_08,test,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_mixed\run_08\runtime_events.measurement.jsonl,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_mixed\run_08\manifest.json,20982602dd1360d18e258bd4547797e5197cfcb373089a51a222faaa568ea0e8,efaccbb20068c6b9f901cb781643363c532d4cefd12fc248de1723a96fc48771,422a4a3db4f81f4c273826a768f58350f44ff47f2c0f2d718c7cd5f68f5647ff,11588
overlap_dual_mixed,run_09,test,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_mixed\run_09\runtime_events.measurement.jsonl,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_mixed\run_09\manifest.json,d991edaf326e85732e8e054a2946b423e492c2f6c4f601df9a7d8c088cf69f4d,f1cb91be765c0ee72382c01fa2ba403f18c55ccdc985b63375313f7c372b8e0b,91afa02d2867c8bff506f7a8a23210756a7640da4d759c3dd167100aaa307b4d,10703
overlap_dual_mixed,run_10,test,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_mixed\run_10\runtime_events.measurement.jsonl,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_mixed\run_10\manifest.json,c2de69102fef4e87c3f5af3348104730238eb97f051c741c1e129b6e7dce07bc,809a2a5406c7e08d38c1566e9844d8daa5641d5c5d8a253a23d2ad0bdd5e140b,2f6f1b2ec21d05980aba18a7134e2385d173252ca23fa71b480b453210ad2eeb,10733
